Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,5.5511E-17,0.089687,0,0,0,1059.757,2.0043,7.0399E-17,1.4025E-17,1.9904,1.5709E-17,3.4174,0,0,0,0,0,0,package://kr6_v5/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kr6_v5/meshes/base_link.STL,,Part1-1,Coordinate System9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,0.10748,1.104E-06,0.40131,0,0,0,108.68,8.1398,3.1331E-05,-3.3196,10.286,1.275E-05,4.6315,0,0,0,0,0,0,package://kr6_v5/meshes/l1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kr6_v5/meshes/l1.STL,,Part2-1,Coordinate System10,Axis_l1j,l1j,revolute,0,0,0.15,0,0,0,base_link,0,0,1,5,2.72,-3.2,3.2,,,,,,,,
l2,-0.0882961411823312,-0.0195458235269697,0.350516240830925,0,0,0,19.0484979909924,1.54282672938812,-0.0409203624281092,0.354946702854769,1.5914800848933,0.162444829634413,0.223178633229203,0,0,0,0,0,0,package://kr6_v5/meshes/l2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kr6_v5/meshes/l2.STL,,Part3-1,Coordinate System11,Axis_l2j,l2j,revolute,0.35,-0.1,0.815,0,0,0,l1,0,1,0,5,2.72,-2,2,,,,,,,,
l3,0.27915,0.070676,-0.081656,0,0,0,14.618,0.52588,-0.012706,0.64541,2.6019,0.003709,2.1889,0,0,0,0,0,0,package://kr6_v5/meshes/l3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kr6_v5/meshes/l3.STL,,Part4-1,Coordinate System12,Axis_l3j,l3j,revolute,-0.207631339859528,0.0388600000000001,0.824250706222407,0,0,0,l2,0,1,0,5,2.72,-1,1,,,,,,,,
l4,0.12033,-7.5101E-08,-0.059844,0,0,0,2.0974,0.0086187,7.3193E-09,0.0021149,0.011818,3.3917E-09,0.011819,0,0,0,0,0,0,package://kr6_v5/meshes/l4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kr6_v5/meshes/l4.STL,,Part5-1,Coordinate System13,Axis_l4j,l4j,revolute,0.709241905394179,0.0719950000000005,-0.190790250361053,0,0,0,l3,0.89537857085129,0,-0.445305754353456,5,5.99,-6.1,6.1,,,,,,,,
l5,0.0069222,8.1476E-08,-0.0034424,0,0,0,0.87271,0.0018727,-1.1811E-09,0.00012007,0.0010091,3.1402E-10,0.0020544,0,0,0,0,0,0,package://kr6_v5/meshes/l5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kr6_v5/meshes/l5.STL,,Part6-1,Coordinate System20,Axis_l5j,l5j,revolute,0.185791053451642,0,-0.0924009440283406,0,0,0,l4,0,1,0,5,6.32,-2.2,2.2,,,,,,,,
l6,0.0261781736095704,-1.11022302462516E-16,-0.0130193995325603,0,0,0,0.0797206242961897,2.52704155177287E-05,-3.1803606298463E-21,2.62013226938247E-06,3.05387289492656E-05,9.98398104867957E-21,2.92356377041692E-05,0,0,0,0,0,0,package://kr6_v5/meshes/l6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kr6_v5/meshes/l6.STL,,Part7-1,Coordinate System22,Axis_l6j,l6j,revolute,0.035815,0,-0.017812,0,0,0,l5,0.89538,0,-0.44531,5,11.5,-6.1,6.1,,,,,,,,
g,0.0732032813011307,4.45776506929896E-07,-0.0364059084666251,0,0,0,0.264138905602098,0.000194905343327247,2.47107813328709E-20,5.24341435168683E-05,0.000243435321027011,-1.08811584542357E-19,0.000274257455291082,0,0,0,0,0,0,package://kr6_v5/meshes/g.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kr6_v5/meshes/g.STL,,gripper_base_2-1,Coordinate System23,,gj,fixed,0.012117,0,-0.0060261,0,0,0,l6,0,0,0,,,,,,,,,,,,
f1,0.091422239238048,0.01,-0.056636210491801,0,0,0,0.0740146018366027,4.75453097295364E-05,-2.39112304414523E-20,8.54134811183698E-05,0.000219375729411499,1.26285925852741E-20,0.000176807268871586,0,0,0,0,0,0,package://kr6_v5/meshes/f1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kr6_v5/meshes/f1.STL,,girpper_finger_2-1,Coordinate System24,Axis_f1j,f1j,revolute,0.10874,-0.076,-0.042909,0,0,0,g,0.44531,0,0.89538,5,5,-1,1,,,,,,,,
f2,0.091422239238048,-0.01,-0.056636210491801,0,0,0,0.0740146018366027,4.75453097295364E-05,-9.74452057697228E-20,8.54134811183697E-05,0.000219375729411498,4.90034363057179E-20,0.000176807268871586,0,0,0,0,0,0,package://kr6_v5/meshes/f2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kr6_v5/meshes/f2.STL,,girpper_finger_2-2,Coordinate System25,Axis_f2j,f2j,revolute,0.10874,0.076,-0.042909,0,0,0,g,0.44531,0,0.89538,5,5,-1,1,,,,,,,,
